aweme_id,comment_count,digg_count,download_count,share_count,duration,my_sent,hf_sent,dich_hf_sent,dich_my_sent
7252383358477536555,1194,235913,7262,14555,7334,0.4,0.491924546957016,0,0
7252024852524174634,2171,2383078,1535,33679,40334,0.5833333333333334,0.6651326281328996,1,1
7250933030615911722,3245,426241,1190,14242,38900,0.34,0.44461097240448,0,0
7249372623165984043,583,214313,242,11809,49167,0.7959183673469388,0.9141208480815498,1,1
7246229097217609002,1028,260919,235,10340,46137,0.8421052631578947,0.8677214133112054,1,1
7245388982467677486,755,159470,67,10416,29001,0.72,0.882244998216629,1,1
7244957547420077354,842,195064,157,10372,47034,0.86,0.8595359230041504,1,1
7243114033279372590,1022,284354,1116,10803,35267,0.7142857142857143,0.8810643614554892,1,1
7241990079441358122,3253,1491499,4968,17815,70867,0.5,0.4943832957744598,0,1
7240391691105062190,2947,535650,2713,4314,44467,0.38,0.4520533013343811,0,0
7239857655781608747,3031,619331,2194,7806,59477,0.4705882352941176,0.4321537964484271,0,0
7237906470321360170,575,147553,589,435,29976,0.5918367346938775,0.7601553165182775,1,1
7237238437294738731,3662,373975,233,1657,30046,0.3673469387755102,0.4113562982909533,0,0
7234197847149727018,1783,243923,287,915,50735,0.6,0.6005800831317901,1,1
7233840043469622570,380,118723,254,234,45867,0.5714285714285714,0.6848771024723442,1,1
7230148933358538027,1101,204462,11137,1238,10285,0.5,0.596011061668396,1,1
7245417038578191662,1835,263175,800,1849,17366,0.1836734693877551,0.8626529160810976,1,0
7237596990064823594,595,55322,194,261,39218,0.24,0.7951079154014588,1,0
7235751142892981550,465,75166,258,313,24800,0.18,0.8802314758300781,1,0
7223898077189377326,6217,709913,2226,9330,43515,0.24,0.7318623518943786,1,0
7209842752962530602,2069,296978,2685,1854,22315,0.38,0.7668059098720551,1,0
7207984268969086251,1279,191434,486,622,11748,0.3125,0.5645567663013935,1,0
7207958834923572522,386,82718,191,245,29822,0.4418604651162791,0.5259200417718222,1,0
7197941247292525866,291,31275,73,160,42567,0.6595744680851063,0.6617961437144178,1,1
7166782480530378030,5870,1590192,5530,4780,12300,0.1914893617021276,0.3669759149247028,0,0
7161596617399749931,851,499700,1837,741,19318,0.65,0.6267866656184197,1,1
7160455061695450410,2301,677117,13695,3720,16276,0.5869565217391305,0.7590505234573198,1,1
7154513262799752490,229,62335,294,119,20478,0.6595744680851063,0.8097325652203662,1,1
7150734267197295915,391,108651,384,310,9216,0.4565217391304347,0.6498716136683589,1,0
7142643330214563114,509,133467,333,189,5896,0.4772727272727273,0.7134380625052885,1,0
7136224601209654570,692,95222,450,320,20535,0.5,0.7325644289905374,1,1
7136220909853216046,3454,927091,352,413,11004,0.25,0.3085139108200868,0,0
7133659877301308718,573,95159,700,378,32012,0.5777777777777777,0.6510414481163025,1,1
7130738078523608366,2101,454299,1253,543,8916,0.46,0.6985175216197967,1,0
7128204071537921326,5239,1688915,8735,3707,22405,0.4489795918367347,0.6101467135001202,1,0
7128174322069310766,1048,167236,504,1010,64566,0.6046511627906976,0.6861451074134471,1,1
7122550050147863851,353,69782,197,167,19191,0.4210526315789473,0.5414804831931466,1,0
7121064830223600939,565,367520,467,405,8659,0.4883720930232558,0.7083652407624,1,0
7112572783623785770,5299,772454,501,1069,9262,0.4666666666666667,0.5799758050176832,1,0
