aweme_id,comment_count,digg_count,download_count,share_count,duration
7065700430222740741,133,27505,188,154,10632
7062724625414835461,169,30707,152,46,7149
7058987975861882117,239,23355,109,40,9680
7049418295719513349,284,13808,106,62,13674
7047988806468914438,163,27905,58,54,10911
7045702905260936454,66,17095,29,26,13117
7037882609153690886,158,10527,59,54,26793
7035289322832055557,141,22113,304,194,15160
7028579329470696709,113,8460,37,24,15067
7026354192864382214,49,8829,17,29,18899
7025292672139070725,145,18355,123,85,9448
7020153466614041862,393,25895,78,80,24959
7254622257337666842,142,37004,1235,409,32600
7250540999359876378,501,41755,1006,944,45115
7249795552823528731,40,6941,56,52,43885
7249412781642943771,43,8935,232,92,39844
7247568677866982683,220,84256,2530,1626,45000
7245350447970553115,79,20478,525,321,27584
7244600912029797659,1733,109769,3986,3502,44047
7243858638538804506,95,35144,343,313,14279
7243118859656514843,1347,366455,2275,2844,29667
7242746906353487131,393,54117,768,581,17716
7242001536149212443,241,66204,3674,1374,38667
7241262241369165082,32,12609,292,72,22383
7240520408854777114,133,30666,703,395,39467
7239408322254769435,4898,304064,13024,8614,42515
7237546330258787610,1054,76199,1072,500,13767
7236431794483121434,532,44119,1147,914,40800
7235325974097710363,478,381246,9494,2691,19434
7234173276510047514,37,13568,79,40,9403
7233843103172447515,22,8611,92,33,39287
7231984074791882011,1662,94552,3126,3129,48167
7231234148579527962,38,7954,82,27,31603
7230504081356295450,416,32915,882,779,53700
7229758483808161050,325,88812,1590,1895,45500
7229370764057660698,517,69325,4202,2421,18273
7225307123956190490,5050,308761,8637,7884,38103
7224546933807811866,56,15847,463,126,49504
7223795695646461190,125,10470,112,58,20434
7222709741586222341,3290,181733,5154,5892,50038
7221245207419849990,102,22284,924,319,42468
7219739516771306757,76,17818,226,297,12770
7217514702887226629,1983,151442,6031,4076,51176
7217064943915453702,84,20026,964,487,64551
7257551841083313434,17,1769,5,1,14967
7257225609523334427,43,3296,6,37,24434
7257197795377958171,23,2587,3,5,12400
7256858916389211419,43,11674,13,24,42234
7254634621860646171,61,19290,52,58,14100
7253510445124832539,41,8682,27,18,88200
7252798649367809306,82,16833,47,131,16267
7252426623490723099,84,22835,123,143,10667
7251644060350319898,180,38195,297,248,14234
7251281347942157594,83,14782,98,109,19667
7248298942289530139,4481,428844,9401,6290,25267
7247912231206128923,73,14926,67,78,14467
7247542712814095642,932,69760,2054,14264,7834
7247162236731428122,69,14786,84,108,18400
7246792593516891419,100,49497,346,198,36034
7246423021433490715,154,12399,65,159,17667
7245342819391442202,42,29068,67,46,19534
7244590758571937050,585,32117,116,779,28734
7244201979495320858,1681,517735,11325,39066,22434
7243827166989929755,75,18985,95,62,36334
7243508447805803802,38,7975,9,16,34767
7242711348604357914,178,46848,275,2064,15267
7241995623828851994,7543,267173,4789,82703,24100
7240889021654715675,482,92717,340,619,60034
7240158332059782427,1940,125260,575,8502,23634
7236753494210825499,203,31957,267,1289,27200
7236410639869070619,1971,381049,1991,832,28967
7236065312846662938,873,39527,248,1573,34634
7234955314523573531,1288,257653,2100,10335,14134
7233843721421311258,203,64458,272,701,28067
7233447284359351579,4304,374806,4246,35771,32134
7232725372230569243,80,54485,683,216,32900
7197881921014091013,1103,205447,576,736,32182
7191572389761748230,19176,5614714,31745,35507,99241
7071368142718717189,7021,2151959,15152,3040,14951
7257623162987269403,79,26138,11,90,42800
7257224121610669338,591,21545,6,101,159543
7256525018941705499,172,21688,21,33,42567
7255762126550207770,225,30133,21,102,44721
7255440538252430619,431,27286,48,90,57200
7255036993128762650,92,12397,17,32,23544
7254632063763090715,317,33867,18,64,154400
7254243623603113243,858,100069,125,287,5015
7253944907218439451,298,24188,53,106,142012
7253190903416884507,161,24327,33,174,71300
7252814924093607195,94,11097,17,29,13722
7252402250423749915,158,8584,27,81,121045
7252069186401275163,210,55778,37,64,10216
