aweme_id,comment_count,digg_count,download_count,share_count,duration,hug_face_sntmt,my_sntmt
7250524515266989314,2173,253824,997,22809,9067,0.5248619715,0.1666666667
7244573316701375786,3899,1048988,289035,112067,22383,0.5865630984,0.7
7244106289666755886,371,114748,3022,14113,5875,0.5879525807,0.6666666667
7235523846617566506,32030,3871369,109281,730118,60975,0.5123235762,0.4
7226941360962669830,78190,5734671,4667,515133,59034,0.8980635941,0.6
7247387079301369134,4356,2097905,24739,208375,5316,0.8844648004,0.6
7252189812411665707,205,87538,8201,770,8242,0.4459205344,0.25
7250138504146046235,1646,2078921,3408,2520,20920,0.8027086198,0.6
7239911663116242218,255,61932,13567,4885,5875,0.3460436066,0.3333333333
7232796005945593134,418,63082,1,1368,22367,0.5190639377,0.4
7228458785449463086,1550,120575,2068,1352,10169,0.2000429153,0.2
7250075372618845482,4719,743581,805,15339,107534,0.5046231389,0.5
7236065749104594218,281,43174,1,6675,41100,0.5899511456,0.2
7231222564524412206,44,8121,3,71,10767,0.4784425437,0.6
7240031972649733418,3214,1244801,330134,69953,12134,0.5316063941,0.5
7245939792465169706,30,9040,206,44,7686,0.251957342,0.25
7249130935587785990,2248,333135,2637,1808,13768,0.5671144843,0.6
7252440552799718702,70,9373,96,73,5152,0.7928739011,0.8
7225943524368190721,638,301751,23505,5742,12234,0.8970028996,0.4
7223520417305365806,341,26932,4,2301,33878,0.4151576579,0.3
7254591865217928475,6346,662849,4193,3738,60118,0.972286278,0.9
7235360889304550657,26017,2295480,81698,79324,19250,0.6598916888,0.4
7223773555865963819,143,28106,2,3814,30698,0.7081989706,0.4
7250238249459944750,5643,1058576,1130,65553,13934,0.8673526645,1
7242391178610494762,1253,97622,1221,6252,8667,0.2045486271,0.3
7227249569615088942,935,57227,2750,1590,6267,0.6016591251,0.5
7227026192711290155,10120,2912512,117839,132765,8400,0.7049564481,0.8
7227360483689614638,6741,3111444,219158,234747,18412,0.6995043874,0.7
7222263931551730990,3541,805422,63079,7223,5734,0.8999075472,0.7
7237425581032394030,261,225279,33383,3618,9869,0.4814462423,0.7
7251598273390054698,688,195165,18737,5481,6919,0.5930060267,0.5
7229831884811914498,11242,7977036,271644,189465,26700,0.6998120487,0.5
7239856064768871722,2103,1116562,20973,35554,8367,0.8892778754,0.5
7244218237649505579,3681,1100393,122130,44012,19234,0.4411195457,0.3
7227504926187064622,491556,614695,7425,15163,14600,0.6028240979,0.7
7245735479046573358,2996,53435,0,7814,6300,0.5019670546,0.7
7236113399279652123,47526,7480929,521026,755653,62509,0.702213645,0.6
7227576394312633642,39459,7586949,92633,523075,25934,0.4928979099,0.3
7226829422505053483,16953,2629772,30460,387606,51106,0.505357784,0.2
7243132573583494446,11529,2730780,134619,49432,61078,0.688495326,0.8
7249150433166576942,8467,2262038,49882,191939,10234,0.2171618342,0.3
7254259184492006702,118,26936,6973,1147,5898,0.7633360565,0.8
7225661270194769194,717,320351,38909,1578,21900,0.6032230675,0.5
7245297545981775150,2733,974938,25063,11520,27677,0.9891868353,0.8
7232679168662621486,460,75250,66965,7894,5804,0.7301065127,0.6666666667
7225051545497308458,282,73265,3,5889,25134,0.6177467108,0.4
7253102458984074542,17008,1460282,17422,24322,21088,0.4637615383,0.7
7234772185548590337,48008,2978804,121994,135123,9544,0.6972844601,0.7
7238324918872444202,1454,1467398,25348,11530,7067,0.6378813013,0.625
7253784960971181355,1648,204470,34000,10277,5875,0.7999647021,0.2
7248973880721706282,3257,893784,17983,20224,6013,0.314119792,0.4
7234160186418564394,193,44416,1,1327,19934,0.7786822319,0.4
7232271816784448814,8406,1216911,4118,34283,136867,0.7004330754,0.8
7238445795886845226,43318,7087529,247404,487078,5875,0.6945953846,0.4
7228686258925653294,284,78465,8,3107,22934,0.6339218199,0.4
7236048676785868075,1591,123990,2391,4995,4922,0.8983905256,0.5
7244038127860321544,293,175080,394985,245884,8313,0.9982062399,0.7
7226733296066071810,42863,7326922,170311,803237,28779,0.3571542561,0.2
7233092568601398530,11757,3406170,27272,20274,8381,0.5871782064,0.8
7242241910016838954,906,287955,14941,35034,5875,0.697947365,0.5
7238965133274287406,688,89189,1,2916,34388,0.7829874933,0.6
7245345915899219243,1553,361236,12820,68461,5875,0.6533185601,0.7
7233434126966099242,508,40049,2,7133,15567,0.7568282008,0.3
7231289696939216171,200,31558,38,15186,8567,0.337835598,0.6
7234217850741787950,542,41828,0,3647,71168,0.6975951612,0.6
7225790195495374123,123,160391,16,1599,11770,0.4712792456,0.4
7227507336649428270,26371,11149531,110692,140571,12500,0.5422132432,0.3
7252561276864367914,6721,907479,12470,40973,63534,0.6641208662,0.4444444444
7254913587083218219,21,17988,0,92,59883,0.4613454474,0.6666666667
7230086212260990254,3588,1015649,123537,11884,156711,0.6742256582,1
7233119631777500458,21937,6160391,645497,814769,64811,0.657133764,0.5
